Easting  , Northing , Cu100Depth, TestCount, MinCu , MaxCu , MinDepth, MaxDepth, PrimaryTestType, Latitude          , Longitude
445279.2 , 193807.48,  1.0      ,         6,  79.33, 130.0 ,     1.0 ,     4.8 , HandVane       , 51.64125400272472 , -1.347070275985745
445340.5 , 194625.5 ,  9.5      ,         1, 170.0 , 170.0 ,     9.5 ,     9.5 , TriaxialTotal  , 51.64860357129927 , -1.3460785633639687
445389.2 , 194151.27,  2.432592 ,         4,  72.33, 123.33,     1.5 ,     4.5 , HandVane       , 51.64433597706862 , -1.3454362982620718
445416.53, 192996.0 ,  4.43     ,         1, 150.0 , 150.0 ,     4.43,     4.43, TriaxialTotal  , 51.6339471724792  , -1.3451907076396732
445433.28, 192646.62,  8.409735 ,         2,  59.0 , 210.0 ,     6.3 ,    14.07, TriaxialTotal  , 51.6308047073308  , -1.3449939365671295
445438.5 , 193245.5 ,  2.5      ,         6, 180.0 , 250.0 ,     2.5 ,     9.5 , TriaxialTotal  , 51.63618857437441 , -1.3448410055480993
445442.12, 194493.53,  3.7857144,         5,  61.33, 130.0 ,     0.5 ,     4.5 , HandVane       , 51.64740890294871 , -1.3446269542775933
445468.5 , 192848.5 ,  6.2      ,         1,  94.0 ,  94.0 ,     1.2 ,     1.2 , TriaxialTotal  , 51.632616861125335, -1.3444589933816284
445518.38, 194185.08, 10.5      ,         1, 240.0 , 240.0 ,    10.5 ,    10.5 , TriaxialTotal  , 51.64462955716947 , -1.3435650340535106
445579.7 , 192138.53,  2.1      ,         4,  97.0 , 130.0 ,     2.1 ,     5.0 , HandVane       , 51.62622478938952 , -1.3429448339974892
445639.9 , 193531.8 ,  2.5      ,         3,  64.0 , 139.0 ,     1.0 ,     2.5 , HandVane       , 51.63874630672573 , -1.341893785103623
445706.06, 194608.02,  2.3351548,         6,  63.33, 130.0 ,     0.5 ,     4.5 , HandVane       , 51.648416850943775, -1.3407976407603062
445712.0 , 194384.16,           ,       818,       ,       ,         ,         , CPTDerived     , 51.64640373016575 , -1.3407410128508042
445726.94, 194041.2 ,  2.1963568,         4,  85.33, 130.0 ,     1.5 ,     4.0 , HandVane       , 51.643319148954404, -1.340569857733072
445763.44, 192564.4 ,  6.5      ,         4, 130.0 , 193.33,     6.5 ,    14.5 , HandVane       , 51.63003881377548 , -1.3402350226472874
445772.22, 193046.7 ,  1.4      ,         6,  81.0 , 130.0 ,     1.4 ,     4.9 , HandVane       , 51.634374270009054, -1.340045266435654
445809.5 , 190828.0 ,  4.0      ,         3,  66.0 , 150.0 ,     1.5 ,     4.0 , TriaxialTotal  , 51.61442360509068 , -1.3397960971899383
445813.5 , 189995.0 , 21.8      ,         1, 530.0 , 530.0 ,    21.8 ,    21.8 , TriaxialTotal  , 51.606934030656966, -1.3398469311808232
445818.06, 192598.84, 13.6      ,         2,  40.0 ,  51.0 ,     5.2 ,     8.6 , TriaxialTotal  , 51.63034399497047 , -1.3394413957857476
445819.0 , 190836.0 ,  9.4      ,         2, 400.0 , 420.0 ,     9.4 ,    24.35, TriaxialTotal  , 51.61449475936572 , -1.3396578606675702
445994.0 , 193590.0 ,  7.3      ,         2, 170.0 , 340.0 ,     7.3 ,    30.0 , TriaxialTotal  , 51.63924081725763 , -1.3367698159283672
446081.88, 193169.38,  9.3      ,         3,  64.0 , 220.0 ,     9.3 ,    14.7 , TriaxialTotal  , 51.6354519510562  , -1.3355553319585232
446136.75, 193982.38,           ,       772,       ,       ,         ,         , CPTDerived     , 51.64275685665566 , -1.3346555777712787
446143.22, 194357.4 ,           ,       621,       ,       ,         ,         , CPTDerived     , 51.64612809606033 , -1.3345127595482797
446231.0 , 194060.0 ,  7.7      ,         2, 100.0 , 170.0 ,     7.7 ,    11.7 , TriaxialTotal  , 51.64344703340275 , -1.3332833986998882
446327.9 , 192408.02, 17.61754  ,         2,  69.0 , 130.0 ,    10.95,    24.07, TriaxialTotal  , 51.628586676656   , -1.3321011618874827
446344.7 , 194125.28,           ,        60,       ,       ,         ,         , CPTDerived     , 51.644024618125655, -1.3316319216489143
446381.44, 193918.02,  1.7      ,         4,  98.0 , 130.0 ,     1.7 ,     4.5 , HandVane       , 51.64215814703225 , -1.3311282646512295
446426.06, 193721.44,  1.0      ,         3,  71.0 , 139.0 ,     1.0 ,     2.8 , HandVane       , 51.64038711230519 , -1.3305094434541807
